PERMNO,date,TICKER,PRC,VOL,RET
14593,03-01-83,AAPL,28.5,504550,-0.046025
14593,04-01-83,AAPL,30.125,1000097,0.057018
14593,05-01-83,AAPL,30.25,632938,0.004149
14593,06-01-83,AAPL,29.125,437573,-0.03719
14593,07-01-83,AAPL,27.5,769721,-0.055794
14593,10-01-83,AAPL,28.75,1231460,0.045455
14593,11-01-83,AAPL,29.5,729312,0.026087
14593,12-01-83,AAPL,30.75,791681,0.042373
14593,13-01-83,AAPL,30.75,368561,0
14593,14-01-83,AAPL,33,826980,0.073171
14593,17-01-83,AAPL,34.125,1052142,0.034091
14593,18-01-83,AAPL,33.375,984747,-0.021978
14593,19-01-83,AAPL,33.625,759464,0.007491
14593,20-01-83,AAPL,37.375,3164891,0.111524
14593,21-01-83,AAPL,37.375,1903048,0
14593,24-01-83,AAPL,35.25,1413344,-0.056856
14593,25-01-83,AAPL,36.625,747928,0.039007
14593,26-01-83,AAPL,38.125,909622,0.040956
14593,27-01-83,AAPL,40.75,1469901,0.068852
14593,28-01-83,AAPL,41,1779558,0.006135
14593,31-01-83,AAPL,40.875,841473,-0.003049
14593,01-02-83,AAPL,41.75,943733,0.021407
14593,02-02-83,AAPL,42.875,1194512,0.026946
14593,03-02-83,AAPL,44.625,1129346,0.040816
14593,04-02-83,AAPL,44,959049,-0.014006
14593,07-02-83,AAPL,42.25,641130,-0.039773
14593,08-02-83,AAPL,41.875,752564,-0.008876
14593,09-02-83,AAPL,42.25,808654,0.008955
14593,10-02-83,AAPL,45,1059760,0.065089
14593,11-02-83,AAPL,46.5,910734,0.033333
14593,14-02-83,AAPL,46.25,565664,-0.005376
14593,15-02-83,AAPL,45.375,516296,-0.018919
14593,16-02-83,AAPL,44.5,521632,-0.019284
14593,17-02-83,AAPL,44,609858,-0.011236
14593,18-02-83,AAPL,45.375,514426,0.03125
14593,22-02-83,AAPL,46.5,881748,0.024793
14593,23-02-83,AAPL,46.875,545974,0.008065
14593,24-02-83,AAPL,48.125,518001,0.026667
14593,25-02-83,AAPL,46.75,513628,-0.028571
14593,28-02-83,AAPL,45.625,591830,-0.024064
14593,01-03-83,AAPL,46.375,627312,0.016438
14593,02-03-83,AAPL,46.75,474052,0.008086
14593,03-03-83,AAPL,45.25,599538,-0.032086
14593,04-03-83,AAPL,44.625,695398,-0.013812
14593,07-03-83,AAPL,43.75,683989,-0.019608
14593,08-03-83,AAPL,42.375,986664,-0.031429
14593,09-03-83,AAPL,43.625,891879,0.029499
14593,10-03-83,AAPL,43,503838,-0.014327
14593,11-03-83,AAPL,42.375,392712,-0.014535
14593,14-03-83,AAPL,41.375,769690,-0.023599
14593,15-03-83,AAPL,42,336983,0.015106
14593,16-03-83,AAPL,42,496668,0
14593,17-03-83,AAPL,42.375,198353,0.008929
14593,18-03-83,AAPL,43,385124,0.014749
14593,21-03-83,AAPL,44,465355,0.023256
14593,22-03-83,AAPL,44.5,452223,0.011364
14593,23-03-83,AAPL,42.375,644420,-0.047753
14593,24-03-83,AAPL,43.125,458284,0.017699
14593,25-03-83,AAPL,43.125,259580,0
14593,28-03-83,AAPL,42.5,333598,-0.014493
14593,29-03-83,AAPL,43.75,464122,0.029412
14593,30-03-83,AAPL,44.25,392651,0.011429
14593,31-03-83,AAPL,42.25,380563,-0.045198
14593,04-04-83,AAPL,41.125,569981,-0.026627
14593,05-04-83,AAPL,40.375,546300,-0.018237
14593,06-04-83,AAPL,40,1022032,-0.009288
14593,07-04-83,AAPL,39.625,650839,-0.009375
14593,08-04-83,AAPL,39.375,671605,-0.006309
14593,11-04-83,AAPL,41.625,1030832,0.057143
14593,12-04-83,AAPL,42.5,796130,0.021021
14593,13-04-83,AAPL,44,848211,0.035294
14593,14-04-83,AAPL,45,609805,0.022727
14593,15-04-83,AAPL,45.75,514479,0.016667
14593,18-04-83,AAPL,47,696445,0.027322
14593,19-04-83,AAPL,46.5,1046507,-0.010638
14593,20-04-83,AAPL,50.625,1290007,0.08871
14593,21-04-83,AAPL,52,1040341,0.02716
14593,22-04-83,AAPL,51,569542,-0.019231
14593,25-04-83,AAPL,48.625,563082,-0.046569
